dataset_name,measure_name,num_stacks_used,native_avg_time_per_slice_sec,avg_time_per_slice_sec_128,avg_time_per_slice_sec_512,avg_time_per_slice_sec_1024
TBI,Squared Gradient,10,0.024415105280058923,0.00017569907970027999,0.0009742204993381165,0.003432054260629229
PBS,Squared Gradient,10,0.023615422419970854,0.00017795231950003653,0.0009366442821919918,0.0033333567608497105
BMA,Squared Gradient,10,0.022554671540565324,0.00017558495979756118,0.000953880641318392,0.003509820879844483
TBF,Squared Gradient,10,0.02203337318089325,0.00020776200137333944,0.0009048128797439858,0.003352733579231426
WBC,Gradient Squared Energy,10,0.00010734466079156846,5.334128043614328e-05,0.0006526676809880883,0.003424523621215485
TBI,Gradient Squared Energy,10,0.02412141536042327,0.00017998033872572704,0.0009351334793609567,0.0034593344992026685
PBS,Gradient Squared Energy,10,0.023721913939807562,0.000169332459627185,0.0009268346399767324,0.0035469875184935516
BMA,Gradient Squared Energy,10,0.023904225020087325,0.00017287590133491904,0.0009220004602684639,0.0035410094205872156
TBF,Gradient Squared Energy,10,0.02227731807768578,0.00018426680064294486,0.0009359075789689087,0.0033612367598107084
WBC,Mean Intensity,10,2.191543986555189e-05,1.3234061188995838e-05,8.91644594958052e-05,0.00045893789967522026
TBI,Mean Intensity,10,0.006310061958793085,7.620596152264625e-05,0.0001835062389727682,0.0006241091614356264
PBS,Mean Intensity,10,0.005698644179792609,7.929739920655266e-05,0.00019505609903717414,0.0006026883787126281
BMA,Mean Intensity,10,0.0057167777989525345,8.204601937904953e-05,0.0001862042016000487,0.0006392415586742573
TBF,Mean Intensity,10,0.005699726679595187,7.802229927619919e-05,0.00018925667711300776,0.0006079287000466138
WBC,Intensity Variance,10,6.044373963959515e-05,5.244201980531216e-05,0.0006378566406783648,0.0020104116402217187
TBI,Intensity Variance,10,0.018605223121121527,0.0001697099575540051,0.0006422233782359399,0.0024724900806904772
PBS,Intensity Variance,10,0.016979391041677446,0.0001730984597816132,0.0006844614390865899,0.002384055760339834
BMA,Intensity Variance,10,0.01678940609912388,0.0001654524003970437,0.0006272345405886881,0.002510437900200486
